id,region,month,year,no_of_tourists
123,Mustang,November,2025,27
124,Mustang,September,2025,34
125,Lumbini,September,2025,34
126,Mustang,January,2025,34
127,Janakpur,July,2025,41
128,Pokhara,May,2025,44
129,Ilam,August,2025,45
130,Pokhara,July,2025,31
131,Kathmandu,June,2025,28
132,Pokhara,April,2025,6
133,Lalitpur,August,2025,14
134,Chitwan,March,2025,36
135,Ilam,June,2025,34
136,Bhaktapur,October,2025,22
137,Lumbini,April,2025,23
138,Lalitpur,May,2025,37
139,Nagarkot,November,2025,41
140,Chitwan,February,2025,30
141,Mustang,September,2025,17
142,Ilam,July,2025,49
143,Bhaktapur,July,2025,36
144,Janakpur,August,2025,27
145,Mustang,October,2025,14
146,Lumbini,December,2025,12
147,Ilam,August,2025,40
148,Kathmandu,May,2025,12
149,Janakpur,December,2025,24
150,Kathmandu,May,2025,11
151,Chitwan,January,2025,22
152,Kathmandu,May,2025,29
153,Janakpur,November,2025,14
154,Nagarkot,February,2025,45
155,Pokhara,September,2025,13
156,Pokhara,March,2025,36
157,Janakpur,June,2025,29
158,Mustang,September,2025,33
159,Ilam,June,2025,46
160,Mustang,May,2025,8
161,Bhaktapur,April,2025,5
162,Lalitpur,March,2025,34
163,Ilam,June,2025,26
164,Janakpur,October,2025,39
165,Nagarkot,September,2025,9
166,Lalitpur,December,2025,11
167,Mustang,April,2025,23
168,Ilam,June,2025,41
169,Lalitpur,November,2025,44
170,Janakpur,September,2025,29
171,Lumbini,August,2025,18
172,Pokhara,March,2025,17
173,Lumbini,September,2025,14
174,Lumbini,February,2025,49
175,Mustang,July,2025,48
176,Bhaktapur,January,2025,15
177,Chitwan,July,2025,36
178,Kathmandu,November,2025,47
179,Kathmandu,September,2025,23
180,Lalitpur,September,2025,12
181,Pokhara,November,2025,25
182,Mustang,December,2025,45
183,Mustang,October,2025,12
184,Ilam,April,2025,23
185,Nagarkot,July,2025,7
186,Kathmandu,September,2025,36
187,Ilam,April,2025,42
188,Bhaktapur,November,2025,11
189,Lumbini,September,2025,35
190,Janakpur,September,2025,7
191,Bhaktapur,June,2025,37
192,Mustang,February,2025,6
193,Lumbini,March,2025,13
194,Lumbini,May,2025,45
195,Mustang,December,2025,23
196,Kathmandu,April,2025,36
197,Bhaktapur,February,2025,32
198,Nagarkot,July,2025,5
199,Ilam,March,2025,46
200,Lumbini,March,2025,22
201,Mustang,November,2025,44
202,Lalitpur,October,2025,48
203,Mustang,February,2025,47
204,Bhaktapur,November,2025,46
205,Chitwan,March,2025,40
206,Kathmandu,March,2025,7
207,Bhaktapur,May,2025,50
208,Lalitpur,November,2025,27
209,Ilam,June,2025,8
210,Bhaktapur,March,2025,36
211,Ilam,December,2025,18
212,Chitwan,October,2025,45
213,Nagarkot,May,2025,21
214,Mustang,May,2025,39
215,Lalitpur,March,2025,32
216,Pokhara,May,2025,31
217,Nagarkot,October,2025,23
218,Chitwan,November,2025,23
219,Lalitpur,October,2025,39
220,Lumbini,September,2025,22
221,Chitwan,September,2025,49
222,Mustang,November,2025,23
223,Lumbini,October,2025,27
224,Chitwan,January,2025,25
225,Lumbini,January,2025,22
226,Nagarkot,November,2025,27
227,Kathmandu,December,2025,47
228,Kathmandu,November,2025,6
229,Nagarkot,February,2025,39
230,Lumbini,February,2025,43
231,Chitwan,November,2025,8
232,Lalitpur,January,2025,8
233,Bhaktapur,January,2025,43
234,Nagarkot,September,2025,5
235,Bhaktapur,January,2025,43
236,Pokhara,May,2025,34
237,Kathmandu,April,2025,38
238,Kathmandu,August,2025,36
239,Lalitpur,December,2025,25
240,Kathmandu,May,2025,20
241,Lumbini,May,2025,21
242,Lumbini,October,2025,21
243,Ilam,November,2025,5
244,Kathmandu,October,2025,46
245,Pokhara,December,2025,28
246,Janakpur,February,2025,33
247,Lalitpur,February,2025,39
248,Mustang,October,2025,39
249,Nagarkot,July,2025,13
250,Ilam,January,2025,41
251,Lalitpur,September,2025,29
252,Pokhara,May,2025,21
253,Lumbini,October,2025,8
254,Lumbini,March,2025,50
255,Lalitpur,February,2025,47
256,Nagarkot,October,2025,8
257,Janakpur,April,2025,5
258,Kathmandu,April,2025,43
259,Ilam,June,2025,13
260,Lalitpur,May,2025,16
261,Kathmandu,November,2025,32
262,Pokhara,November,2025,22
263,Bhaktapur,June,2025,19
264,Mustang,May,2025,48
265,Janakpur,January,2025,11
266,Nagarkot,April,2025,15
267,Mustang,November,2025,49
268,Chitwan,July,2025,44
269,Mustang,May,2025,34
270,Nagarkot,September,2025,46
271,Chitwan,November,2025,26
272,Janakpur,September,2025,42
273,Nagarkot,September,2025,47
274,Pokhara,June,2025,5
275,Janakpur,March,2025,22
276,Janakpur,December,2025,32
277,Pokhara,March,2025,41
278,Janakpur,April,2025,30
279,Nagarkot,July,2025,41
280,Ilam,August,2025,50
281,Nagarkot,June,2025,49
282,Chitwan,November,2025,46
283,Pokhara,December,2025,25
284,Lalitpur,May,2025,40
285,Lalitpur,September,2025,48
286,Pokhara,April,2025,29
287,Lumbini,July,2025,23
288,Pokhara,February,2025,9
289,Lumbini,December,2025,36
290,Lalitpur,December,2025,10
291,Lalitpur,December,2025,30
292,Lalitpur,May,2025,31
293,Ilam,March,2025,11
294,Lalitpur,September,2025,16
295,Ilam,April,2025,37
296,Lumbini,February,2025,50
297,Kathmandu,February,2025,26
298,Pokhara,September,2025,14
299,Pokhara,February,2025,19
300,Kathmandu,March,2025,49
301,Kathmandu,September,2025,43
302,Chitwan,January,2025,23
303,Chitwan,October,2025,13
304,Pokhara,July,2025,20
305,Chitwan,March,2025,35
306,Mustang,September,2025,30
307,Bhaktapur,November,2025,29
308,Pokhara,November,2025,49
309,Nagarkot,August,2025,41
310,Lumbini,April,2025,42
311,Lumbini,September,2025,47
312,Mustang,November,2025,43
313,Pokhara,June,2025,11
314,Ilam,September,2025,30
315,Nagarkot,July,2025,6
316,Chitwan,October,2025,35
317,Lumbini,October,2025,41
318,Ilam,June,2025,27
319,Pokhara,January,2025,23
320,Mustang,July,2025,22
321,Bhaktapur,December,2025,29
322,Lumbini,June,2025,47
323,Janakpur,January,2025,20
324,Chitwan,September,2025,23
325,Nagarkot,May,2025,8
326,Lalitpur,March,2025,37
327,Janakpur,August,2025,44
328,Pokhara,September,2025,37
329,Lalitpur,April,2025,17
330,Chitwan,March,2025,27
331,Ilam,January,2025,46
332,Kathmandu,June,2025,39
333,Ilam,January,2025,25
334,Lalitpur,June,2025,5
335,Nagarkot,September,2025,17
336,Kathmandu,May,2025,19
337,Kathmandu,February,2025,25
338,Lalitpur,March,2025,34
339,Janakpur,November,2025,16
340,Ilam,January,2025,28
341,Lumbini,October,2025,21
342,Lumbini,February,2025,13
343,Kathmandu,June,2025,23
344,Lumbini,February,2025,32
345,Lumbini,June,2025,28
346,Nagarkot,October,2025,24
347,Chitwan,December,2025,8
348,Mustang,July,2025,47
349,Bhaktapur,November,2025,49
350,Ilam,July,2025,12
351,Ilam,June,2025,19
352,Nagarkot,August,2025,8
353,Kathmandu,February,2025,10
354,Pokhara,April,2025,40
355,Ilam,July,2025,30
356,Lumbini,September,2025,11
357,Ilam,May,2025,37
358,Mustang,February,2025,12
359,Kathmandu,May,2025,42
360,Nagarkot,February,2025,36
361,Chitwan,August,2025,32
362,Chitwan,July,2025,20
363,Ilam,March,2025,50
364,Ilam,July,2025,37
365,Lalitpur,September,2025,46
366,Pokhara,October,2025,22
367,Nagarkot,June,2025,27
368,Pokhara,January,2025,27
369,Nagarkot,October,2025,45
370,Lalitpur,April,2025,25
371,Ilam,March,2025,39
372,Pokhara,February,2025,26
373,Lalitpur,May,2025,6
374,Bhaktapur,May,2025,13
375,Mustang,August,2025,35
376,Lumbini,February,2025,35
377,Janakpur,September,2025,34
378,Bhaktapur,November,2025,15
379,Lalitpur,January,2025,30
380,Lumbini,January,2025,35
381,Ilam,April,2025,43
382,Bhaktapur,June,2025,43
383,Nagarkot,May,2025,36
384,Lalitpur,April,2025,45
385,Mustang,January,2025,26
386,Mustang,March,2025,21
387,Kathmandu,September,2025,8
388,Mustang,September,2025,31
389,Kathmandu,March,2025,19
390,Mustang,August,2025,24
391,Chitwan,June,2025,45
392,Lumbini,December,2025,18
393,Janakpur,December,2025,44
394,Nagarkot,October,2025,41
395,Bhaktapur,July,2025,27
396,Bhaktapur,February,2025,13
397,Chitwan,October,2025,48
398,Lalitpur,December,2025,48
399,Lalitpur,September,2025,7
400,Nagarkot,October,2025,45
401,Lumbini,December,2025,19
402,Lalitpur,March,2025,11
403,Mustang,August,2025,50
404,Kathmandu,February,2025,33
405,Lumbini,February,2025,43
406,Janakpur,March,2025,17
407,Janakpur,May,2025,15
408,Mustang,October,2025,10
409,Bhaktapur,November,2025,42
410,Pokhara,July,2025,17
411,Bhaktapur,March,2025,41
412,Kathmandu,November,2025,47
413,Kathmandu,January,2025,21
414,Pokhara,September,2025,41
415,Kathmandu,October,2025,19
416,Nagarkot,February,2025,27
417,Ilam,September,2025,10
418,Lumbini,October,2025,5
419,Lumbini,January,2025,20
420,Ilam,July,2025,47
421,Nagarkot,August,2025,9
422,Chitwan,February,2025,50
423,Bhaktapur,December,2025,44
424,Pokhara,August,2025,20
425,Chitwan,August,2025,41
426,Lumbini,August,2025,21
427,Pokhara,December,2025,12
428,Mustang,November,2025,17
429,Janakpur,December,2025,41
430,Ilam,November,2025,29
431,Kathmandu,June,2025,37
432,Ilam,October,2025,33
433,Bhaktapur,June,2025,45
434,Chitwan,October,2025,24
435,Nagarkot,April,2025,28
436,Mustang,August,2025,42
437,Lalitpur,July,2025,48
438,Pokhara,August,2025,20
439,Nagarkot,April,2025,21
440,Kathmandu,January,2025,18
441,Mustang,May,2025,12
442,Kathmandu,August,2025,28
443,Pokhara,April,2025,49
444,Mustang,June,2025,30
445,Janakpur,July,2025,46
446,Nagarkot,November,2025,24
447,Ilam,October,2025,26
448,Mustang,February,2025,38
449,Nagarkot,December,2025,36
450,Nagarkot,March,2025,34
451,Janakpur,December,2025,35
452,Nagarkot,December,2025,22
453,Chitwan,November,2025,46
454,Chitwan,June,2025,29
455,Mustang,May,2025,32
456,Lumbini,July,2025,48
457,Kathmandu,December,2025,31
458,Kathmandu,February,2025,12
459,Nagarkot,December,2025,31
460,Lalitpur,February,2025,12
461,Lumbini,February,2025,7
462,Janakpur,March,2025,48
463,Kathmandu,October,2025,23
464,Lumbini,April,2025,15
465,Chitwan,July,2025,14
466,Ilam,May,2025,33
467,Mustang,October,2025,12
468,Mustang,December,2025,23
469,Kathmandu,January,2025,8
470,Ilam,October,2025,44
471,Pokhara,March,2025,24
472,Kathmandu,January,2025,15
473,Mustang,December,2025,18
474,Janakpur,December,2025,29
475,Lumbini,June,2025,12
476,Lumbini,October,2025,10
477,Lumbini,August,2025,7
478,Janakpur,February,2025,7
479,Lumbini,March,2025,50
480,Kathmandu,July,2025,46
481,Bhaktapur,January,2025,50
482,Ilam,July,2025,35
483,Nagarkot,August,2025,50
484,Mustang,October,2025,7
485,Kathmandu,August,2025,48
486,Pokhara,February,2025,49
487,Lalitpur,March,2025,20
488,Chitwan,May,2025,15
489,Janakpur,March,2025,46
490,Lalitpur,February,2025,37
491,Chitwan,December,2025,45
492,Lalitpur,May,2025,18
493,Chitwan,November,2025,31
494,Pokhara,July,2025,25
495,Chitwan,August,2025,5
496,Pokhara,September,2025,38
497,Janakpur,July,2025,13
498,Janakpur,June,2025,33
499,Lalitpur,June,2025,23
500,Pokhara,March,2025,28
501,Lumbini,December,2025,8
502,Ilam,July,2025,10
503,Pokhara,December,2025,20
504,Chitwan,November,2025,32
505,Janakpur,October,2025,20
506,Chitwan,April,2025,39
507,Chitwan,February,2025,42
508,Lumbini,October,2025,32
509,Mustang,February,2025,6
510,Janakpur,June,2025,23
511,Pokhara,July,2025,49
512,Mustang,August,2025,29
513,Kathmandu,October,2025,49
514,Pokhara,February,2025,50
515,Janakpur,March,2025,13
516,Chitwan,September,2025,10
517,Mustang,January,2025,39
518,Bhaktapur,October,2025,38
519,Lalitpur,December,2025,43
520,Bhaktapur,July,2025,44
521,Kathmandu,September,2025,47
522,Mustang,November,2025,12
523,Bhaktapur,April,2025,29
524,Ilam,December,2025,49
525,Mustang,November,2025,15
526,Kathmandu,November,2025,41
527,Mustang,August,2025,5
528,Kathmandu,July,2025,13
529,Kathmandu,October,2025,27
530,Kathmandu,July,2025,17
531,Nagarkot,May,2025,41
532,Chitwan,February,2025,45
533,Nagarkot,August,2025,14
534,Bhaktapur,May,2025,50
535,Kathmandu,October,2025,35
536,Kathmandu,September,2025,35
537,Bhaktapur,December,2025,10
538,Kathmandu,March,2025,24
539,Nagarkot,January,2025,15
540,Kathmandu,November,2025,15
541,Pokhara,December,2025,46
542,Janakpur,December,2025,33
543,Ilam,October,2025,19
544,Mustang,November,2025,38
545,Nagarkot,December,2025,32
546,Pokhara,December,2025,15
547,Mustang,September,2025,6
548,Lumbini,August,2025,17
549,Pokhara,June,2025,45
550,Kathmandu,March,2025,43
551,Ilam,June,2025,49
552,Nagarkot,May,2025,29
553,Ilam,December,2025,7
554,Chitwan,September,2025,26
555,Ilam,August,2025,10
556,Pokhara,March,2025,13
557,Lumbini,August,2025,19
558,Janakpur,May,2025,41
559,Nagarkot,March,2025,10
560,Nagarkot,August,2025,41
561,Pokhara,June,2025,21
562,Janakpur,September,2025,46
563,Kathmandu,January,2025,21
564,Mustang,September,2025,29
565,Janakpur,May,2025,47
566,Nagarkot,September,2025,43
567,Lalitpur,February,2025,18
568,Bhaktapur,November,2025,7
569,Kathmandu,August,2025,37
570,Ilam,February,2025,40
571,Nagarkot,May,2025,18
572,Bhaktapur,February,2025,35
573,Mustang,May,2025,35
574,Chitwan,June,2025,14
575,Pokhara,September,2025,34
576,Janakpur,December,2025,7
577,Lalitpur,June,2025,10
578,Ilam,November,2025,16
579,Janakpur,March,2025,30
580,Chitwan,July,2025,17
581,Lalitpur,January,2025,32
582,Kathmandu,November,2025,21
583,Bhaktapur,January,2025,18
584,Janakpur,April,2025,47
585,Kathmandu,July,2025,16
586,Ilam,March,2025,32
587,Chitwan,October,2025,34
588,Janakpur,February,2025,39
589,Lalitpur,January,2025,15
590,Pokhara,April,2025,33
591,Lalitpur,July,2025,35
592,Kathmandu,December,2025,34
593,Janakpur,October,2025,9
594,Nagarkot,February,2025,20
595,Lalitpur,February,2025,37
596,Chitwan,October,2025,26
597,Chitwan,March,2025,8
598,Pokhara,October,2025,26
599,Lumbini,January,2025,29
600,Lumbini,May,2025,21
601,Pokhara,February,2025,13
602,Chitwan,July,2025,45
603,Chitwan,April,2025,46
604,Pokhara,February,2025,42
605,Chitwan,February,2025,33
606,Lumbini,September,2025,17
607,Bhaktapur,October,2025,43
608,Nagarkot,June,2025,17
609,Pokhara,October,2025,38
610,Pokhara,November,2025,23
611,Nagarkot,June,2025,39
612,Lumbini,March,2025,9
613,Chitwan,June,2025,15
614,Nagarkot,November,2025,50
615,Lalitpur,April,2025,5
616,Mustang,October,2025,46
617,Pokhara,July,2025,13
618,Ilam,August,2025,27
619,Mustang,February,2025,27
620,Mustang,July,2025,34
621,Chitwan,February,2025,44
622,Ilam,December,2025,5
623,Lalitpur,September,2025,7
624,Chitwan,October,2025,38
625,Nagarkot,July,2025,42
626,Ilam,October,2025,6
627,Kathmandu,July,2025,10
628,Bhaktapur,July,2025,35
629,Lumbini,February,2025,48
630,Bhaktapur,April,2025,22
631,Lumbini,December,2025,8
632,Nagarkot,November,2025,38
633,Janakpur,May,2025,50
634,Kathmandu,March,2025,50
635,Pokhara,March,2025,48
636,Chitwan,November,2025,40
637,Kathmandu,August,2025,19
638,Ilam,January,2025,35
639,Lalitpur,October,2025,31
640,Lumbini,March,2025,29
641,Lalitpur,June,2025,42
642,Lalitpur,May,2025,20
643,Mustang,January,2025,11
644,Bhaktapur,November,2025,5
645,Lalitpur,August,2025,39
646,Chitwan,August,2025,18
647,Bhaktapur,September,2025,30
648,Lumbini,May,2025,15
649,Mustang,July,2025,34
650,Mustang,November,2025,50
651,Pokhara,August,2025,36
652,Chitwan,April,2025,32
653,Ilam,May,2025,23
654,Janakpur,December,2025,42
655,Bhaktapur,March,2025,34
656,Nagarkot,April,2025,46
657,Chitwan,April,2025,30
658,Lalitpur,June,2025,16
659,Bhaktapur,December,2025,41
660,Kathmandu,February,2025,24
661,Lumbini,October,2025,9
662,Bhaktapur,April,2025,46
663,Ilam,January,2025,11
664,Bhaktapur,February,2025,5
665,Nagarkot,May,2025,8
666,Mustang,February,2025,44
667,Ilam,July,2025,24
668,Mustang,September,2025,8
669,Ilam,February,2025,47
670,Mustang,July,2025,6
671,Chitwan,July,2025,8
672,Pokhara,August,2025,44
673,Chitwan,April,2025,21
674,Chitwan,June,2025,42
675,Lalitpur,February,2025,44
676,Chitwan,August,2025,28
677,Nagarkot,July,2025,31
678,Lalitpur,April,2025,10
679,Kathmandu,June,2025,23
680,Pokhara,June,2025,6
681,Lalitpur,August,2025,43
682,Pokhara,August,2025,48
683,Bhaktapur,August,2025,27
684,Lumbini,August,2025,10
685,Bhaktapur,January,2025,14
686,Chitwan,September,2025,19
687,Mustang,February,2025,29
688,Nagarkot,March,2025,12
689,Janakpur,April,2025,49
690,Chitwan,April,2025,34
691,Janakpur,February,2025,43
692,Janakpur,December,2025,18
693,Kathmandu,February,2025,36
694,Bhaktapur,July,2025,9
695,Mustang,May,2025,27
696,Bhaktapur,February,2025,20
697,Lumbini,March,2025,34
698,Bhaktapur,December,2025,33
699,Janakpur,January,2025,39
700,Nagarkot,December,2025,40
701,Ilam,April,2025,10
702,Kathmandu,December,2025,30
703,Chitwan,August,2025,37
704,Kathmandu,June,2025,38
705,Janakpur,May,2025,8
706,Lalitpur,May,2025,20
707,Kathmandu,August,2025,47
708,Mustang,September,2025,25
709,Janakpur,August,2025,7
710,Nagarkot,December,2025,38
711,Janakpur,November,2025,33
712,Chitwan,October,2025,24
713,Mustang,December,2025,26
714,Nagarkot,April,2025,43
715,Nagarkot,October,2025,6
716,Bhaktapur,February,2025,33
717,Nagarkot,October,2025,21
718,Mustang,July,2025,16
719,Lumbini,December,2025,20
720,Lumbini,August,2025,39
721,Bhaktapur,November,2025,16
722,Bhaktapur,April,2025,14
723,Chitwan,July,2025,31
724,Nagarkot,May,2025,15
725,Janakpur,October,2025,13
726,Bhaktapur,July,2025,14
727,Chitwan,June,2025,43
728,Chitwan,December,2025,44
729,Ilam,August,2025,23
730,Janakpur,October,2025,36
731,Lumbini,January,2025,7
732,Pokhara,June,2025,40
733,Bhaktapur,September,2025,16
734,Kathmandu,June,2025,32
735,Mustang,October,2025,9
736,Pokhara,May,2025,40
737,Bhaktapur,September,2025,39
738,Chitwan,October,2025,37
739,Mustang,September,2025,39
740,Janakpur,August,2025,34
741,Bhaktapur,September,2025,36
742,Lumbini,March,2025,38
743,Mustang,November,2025,49
744,Bhaktapur,March,2025,20
745,Ilam,August,2025,47
746,Janakpur,April,2025,32
747,Lumbini,November,2025,21
748,Ilam,February,2025,8
749,Nagarkot,July,2025,35
750,Janakpur,January,2025,40
751,Chitwan,October,2025,50
752,Bhaktapur,January,2025,41
753,Janakpur,May,2025,28
754,Lalitpur,January,2025,41
755,Ilam,November,2025,45
756,Lumbini,February,2025,35
757,Pokhara,November,2025,34
758,Lalitpur,August,2025,10
759,Janakpur,June,2025,14
760,Kathmandu,September,2025,17
761,Kathmandu,December,2025,14
762,Lalitpur,February,2025,18
763,Lumbini,March,2025,29
764,Mustang,August,2025,31
765,Ilam,September,2025,50
766,Lalitpur,August,2025,26
767,Pokhara,November,2025,31
768,Lumbini,February,2025,24
769,Nagarkot,June,2025,38
770,Bhaktapur,November,2025,45
771,Mustang,February,2025,6
772,Nagarkot,July,2025,45
773,Mustang,May,2025,23
774,Ilam,May,2025,41
775,Bhaktapur,February,2025,25
776,Chitwan,October,2025,39
777,Ilam,September,2025,49
778,Janakpur,July,2025,10
779,Pokhara,February,2025,21
780,Bhaktapur,January,2025,34
781,Ilam,December,2025,38
782,Nagarkot,May,2025,48
783,Kathmandu,July,2025,35
784,Bhaktapur,October,2025,22
785,Kathmandu,April,2025,9
786,Lumbini,May,2025,32
787,Lalitpur,December,2025,33
788,Pokhara,April,2025,45
789,Lalitpur,August,2025,20
790,Bhaktapur,November,2025,25
791,Bhaktapur,June,2025,37
792,Lalitpur,August,2025,23
793,Nagarkot,April,2025,50
794,Lalitpur,June,2025,5
795,Mustang,February,2025,46
796,Bhaktapur,July,2025,13
797,Mustang,April,2025,35
798,Nagarkot,April,2025,10
799,Mustang,March,2025,46
800,Nagarkot,December,2025,34
801,Lalitpur,September,2025,30
802,Nagarkot,December,2025,17
803,Lalitpur,March,2025,48
804,Chitwan,November,2025,46
805,Nagarkot,January,2025,7
806,Kathmandu,December,2025,23
807,Janakpur,November,2025,32
808,Janakpur,November,2025,42
809,Janakpur,January,2025,7
810,Pokhara,August,2025,35
811,Bhaktapur,February,2025,7
812,Bhaktapur,October,2025,5
813,Bhaktapur,February,2025,37
814,Kathmandu,June,2025,32
815,Bhaktapur,January,2025,9
816,Lumbini,November,2025,22
817,Bhaktapur,March,2025,8
818,Chitwan,March,2025,42
819,Nagarkot,July,2025,12
820,Bhaktapur,September,2025,8
821,Janakpur,October,2025,43
822,Chitwan,November,2025,31
823,Ilam,May,2025,13
824,Ilam,April,2025,6
825,Ilam,February,2025,41
826,Kathmandu,January,2025,32
827,Lumbini,January,2025,15
828,Nagarkot,March,2025,18
829,Ilam,March,2025,11
830,Lalitpur,September,2025,7
831,Janakpur,February,2025,49
832,Bhaktapur,December,2025,34
833,Bhaktapur,March,2025,13
834,Lalitpur,February,2025,39
835,Kathmandu,February,2025,35
836,Mustang,November,2025,11
837,Mustang,April,2025,40
838,Pokhara,June,2025,20
839,Lumbini,May,2025,47
840,Chitwan,March,2025,42
841,Janakpur,July,2025,46
842,Mustang,October,2025,32
843,Bhaktapur,April,2025,29
844,Lumbini,April,2025,16
845,Janakpur,April,2025,7
846,Kathmandu,February,2025,41
847,Nagarkot,April,2025,13
848,Lalitpur,May,2025,34
849,Lalitpur,August,2025,50
850,Mustang,December,2025,32
851,Kathmandu,April,2025,5
852,Mustang,February,2025,21
853,Nagarkot,May,2025,36
854,Pokhara,October,2025,34
855,Chitwan,July,2025,22
856,Bhaktapur,June,2025,11
857,Ilam,January,2025,39
858,Pokhara,September,2025,9
859,Kathmandu,May,2025,14
860,Kathmandu,August,2025,38
861,Lalitpur,March,2025,36
862,Bhaktapur,March,2025,44
863,Pokhara,January,2025,19
864,Lumbini,February,2025,24
865,Janakpur,April,2025,26
866,Lumbini,April,2025,29
867,Bhaktapur,March,2025,46
868,Ilam,July,2025,24
869,Bhaktapur,November,2025,23
870,Kathmandu,June,2025,12
871,Janakpur,January,2025,19
872,Lumbini,April,2025,11
873,Bhaktapur,July,2025,12
874,Lumbini,January,2025,17
875,Mustang,April,2025,44
876,Pokhara,November,2025,43
877,Ilam,July,2025,23
878,Lumbini,January,2025,30
879,Nagarkot,June,2025,43
880,Kathmandu,December,2025,44
881,Mustang,January,2025,12
882,Lalitpur,August,2025,15
883,Chitwan,April,2025,5
884,Nagarkot,December,2025,7
885,Kathmandu,July,2025,7
886,Ilam,October,2025,29
887,Bhaktapur,April,2025,43
888,Bhaktapur,February,2025,22
889,Nagarkot,December,2025,30
890,Ilam,January,2025,15
891,Nagarkot,November,2025,18
892,Janakpur,October,2025,27
893,Mustang,January,2025,24
894,Chitwan,September,2025,8
895,Pokhara,January,2025,41
896,Lumbini,December,2025,35
897,Lumbini,November,2025,28
898,Janakpur,August,2025,11
899,Kathmandu,February,2025,7
900,Lalitpur,October,2025,6
901,Lumbini,January,2025,10
902,Lumbini,February,2025,36
903,Pokhara,November,2025,6
904,Kathmandu,February,2025,16
905,Kathmandu,November,2025,16
906,Kathmandu,December,2025,36
907,Mustang,January,2025,23
908,Bhaktapur,November,2025,36
909,Bhaktapur,March,2025,48
910,Mustang,September,2025,8
911,Nagarkot,January,2025,48
912,Janakpur,October,2025,9
